STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE,DISTANCE
368,BRMU,-39.332,0.022,-0.67,0.33,2020.0000,ULR7a,1993-03-23,2020-09-27,739
368,BRMU,-39.336,0.021,-0.86,0.41,2020.0000,NGL14,1993-03-23,2020-09-27,739
368,BRMU,-39.335,0.021,-0.95,0.17,2020.0000,JPL14,1993-03-23,2020-09-27,739
378,CACC,-35.156,0.009,2.35,0.38,2020.0000,ULR7a,2011-09-27,2021-12-29,224
378,CACC,-35.160,0.004,2.43,0.62,2020.0000,NGL14,2011-09-27,2021-12-29,224
393,STJO,2.254,0.012,-0.40,0.18,2020.0000,JPL14,1992-03-30,2023-03-23,4316
393,STJO,2.179,0.014,0.14,0.30,2020.0000,GT3,1992-03-30,2023-03-23,4316
393,STJO,2.251,0.012,-0.42,0.37,2020.0000,NGL14,1992-03-30,2023-03-23,4316
393,STJO,2.252,0.012,-0.36,0.12,2020.0000,ULR7a,1992-03-30,2023-03-23,4316
397,SASS,23.597,0.002,0.29,0.30,2020.0000,JPL14,2003-01-27,2019-02-27,307
397,SAS2,23.586,0.004,0.94,1.15,2020.0000,NGL14,2016-02-29,2023-03-22,16
397,SASS,23.602,0.005,0.05,0.30,2020.0000,GT3,2003-01-27,2019-02-27,307
397,SASS,23.601,0.006,0.65,0.64,2020.0000,NGL14,2003-01-27,2019-02-27,307
447,CHUR,-55.169,0.005,10.45,0.42,2020.0000,NGL14,1993-04-27,2023-03-23,5522
447,CHUR,-55.184,0.006,10.38,0.22,2020.0000,ULR7a,1993-04-27,2023-03-23,5522
447,CHUR,-55.166,0.003,10.49,0.12,2020.0000,JPL14,1993-04-27,2023-03-23,5522
447,CHUR,-54.775,0.008,11.73,0.30,2020.0000,GT3,1993-04-27,2023-03-23,5522
454,SMTG,41.722,0.003,-0.73,0.30,2020.0000,GT3,2010-02-16,2023-03-23,52
454,SMTG,41.705,0.004,-1.74,0.56,2020.0000,NGL14,2010-02-16,2023-03-23,52
